,bo_srm_xsd
0,0.46875
1,0.371094
2,0.46875
3,0.5664060000000001
4,0.5664060000000001
5,0.5664060000000001
6,0.5664060000000001
7,0.5664060000000001
8,0.5664060000000001
9,0.390625
10,0.371094
11,0.3125
12,0.195313
13,0.195313
14,0.195313
15,0.351563
16,0.390625
17,0.390625
18,0.46875
19,0.742188
20,0.546875
21,0.6445310000000001
22,0.5664060000000001
23,0.507813
24,0.351563
25,0.332031
26,0.136719
27,0.410156
28,0.253906
29,0.3125
30,0.332031
31,0.429688
32,0.488281
33,0.449219
34,0.449219
35,0.449219
36,0.351563
37,0.371094
38,0.371094
39,0.371094
40,0.46875
41,0.546875
42,0.546875
43,0.449219
44,0.449219
45,0.6835939999999999
46,0.6835939999999999
47,0.6835939999999999
48,0.6835939999999999
49,0.6835939999999999
50,0.6835939999999999
51,0.6835939999999999
52,0.6835939999999999
53,0.6835939999999999
54,0.5664060000000001
55,0.5273439999999999
56,0.5273439999999999
57,0.429688
58,0.625
59,0.625
60,0.703125
61,0.703125
62,0.703125
63,1.035156
64,1.113281
65,0.878906
66,0.878906
67,0.78125
68,0.78125
69,0.664063
70,0.6445310000000001
71,0.625
72,0.6445310000000001
73,0.7617189999999999
74,0.9375
75,0.859375
76,0.859375
77,0.742188
78,0.6835939999999999
79,0.5664060000000001
80,0.5664060000000001
81,0.742188
82,0.5664060000000001
83,0.7617189999999999
84,0.742188
85,0.742188
86,0.742188
87,0.5664060000000001
88,0.5664060000000001
89,0.5664060000000001
90,0.742188
91,0.585938
92,0.585938
93,0.5664060000000001
94,0.585938
95,0.546875
96,0.488281
97,0.449219
98,0.546875
99,0.6054689999999999
100,0.6054689999999999
101,0.6054689999999999
102,0.6835939999999999
103,0.6445310000000001
104,0.703125
105,0.703125
106,0.6835939999999999
107,0.6445310000000001
108,0.429688
109,0.5273439999999999
110,0.5273439999999999
111,0.507813
112,0.292969
113,0.46875
114,0.351563
115,0.351563
116,0.449219
117,0.429688
118,0.585938
119,0.332031
120,0.371094
121,0.46875
122,0.332031
123,0.332031
124,0.46875
125,0.46875
126,0.664063
127,0.507813
128,0.625
129,0.625
130,0.6445310000000001
131,0.625
132,0.625
133,0.6835939999999999
134,0.6835939999999999
135,0.878906
136,0.703125
137,0.703125
138,0.703125
139,0.703125
140,0.703125
141,0.8007810000000001
142,0.820313
